"variable","name","definition","about","source"
"gds_svcs","Basic Goods & Services (Pharmacies, Banking, Groceries)","Basic goods and services found within one quarter mile of tabulation geography.","The presence of businesses is denoted with the corresponding letter: Pharmacy (P), Credit Union or Bank (B), and Grocery Store (G).  APL proximity calculation. ","ESRI Business Analyst 2022 Data."
"pc_no_vhcl","Households Without Vehicle","Estimated percent of households without access to a private vehicle at home (5-year estimate).","Based on APL interpolation and summary of American Community Survey (ACS) block group estimates.  Comparisons of estimates from multi-year periods should ideally be based on non-overlapping periods (e.g. comparing estimates from 2008-2012 with estimates from 2013-2018).  Estimates for geographies with small populations may be unreliable and are withheld in some instances.  See ACS table B25044 for margins of error.","2017-2021 5-Year ACS."
"avg_stcnd","Pavement Condition","Average pavement condition (length-weighted).","Average length-weighted condition rating of City of Madison maintained street segments within or immediately adjacent to tabulation area.  Areas maintained by the Town of Madison in 2022 are excluded from this rating.  Scoring is based on University of Wisconsin PASER rating system where 10 is the best condition.","City of Madison Engineering Division, accessed online 1/4/2023."
"hu","Housing Units","Estimated of Housing Units.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020.  The Census Bureau defines a housing unit as a house, an apartment, a mobile home or trailer, a group of rooms, or a single room occupied as separate living quarters, or if vacant, intended for occupancy as separate living quarters.","Census 2020, 2010, and 2000 block data."
"pc_own","Owner Occupied Homes","Estimated percent of occupied housing units that are owner occupied.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020. ","Census 2020, 2010, and 2000 block data."
"tot_pop","Total Population","Estimated total population.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020. ","Census 2020, 2010, and 2000 block data."
"pc_un5","Young Children: Age 0 to 4","Estimated percent of persons age four and under.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020. ","Census 2020, 2010, and 2000 block data."
"pc_un18","Youth Population: Age 0 to 17","Estimated percent of persons age 17 and under.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020. ","Census 2020, 2010, and 2000 block data."
"pc_ov64","Senior Population: Age 65 and Over","Estimated percent of persons age 65 and over.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020. ","Census 2020, 2010, and 2000 block data."
"pc_wht","White","Estimated percent of persons in the Non-Hispanic White alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. White alone population shown for non-Hispanics only; Hispanic population of all races shown separately.  In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity. Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_afrm","Black or African American","Estimated percent of persons in the Non-Hispanic Black or African American alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Black or African American alone population shown for non-Hispanics only; Hispanic population of all races shown separately.   In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity. Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_asn","Asian","Estimated percent of persons in the Non-Hispanic Asian alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Asian alone population shown for non-Hispanics only; Hispanic population of all races shown separately.  In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity. Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_othm","Other Races or Multiracial","Estimated percent of persons in the Non-Hispanic American Indian alone, Pacific Islander alone, Other Race alone or Two or More Races categories.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Other Race or Multiracial population shown for non-Hispanics only; Hispanic population of all races shown separately.  In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity. Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_hisp","Hispanic or Latino","Estimated percent of the persons of any race who identify as Hispanic or Latino.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census.  In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity. Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"hh","Total Households","Estimated number of households.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020.  The Census Bureau defines a household as an occupied housing unit and includes all the people who occupy that housing unit as their usual place of residence.","Census 2020, 2010, and 2000 block data."
"fam","Family Households","Estimated number of family households.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020.  The Census Bureau defines a family as two or more people who reside together and who are related by birth, marriage, or adoption.","Census 2020, 2010, and 2000 block data."
"pc_fmwc","Families with Children","Estimated families with own children under 18 as a percent of all households.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020.  The Census Bureau defines an own child as a never-married child under 18 years who is a son or daughter by birth, a stepchild, or an adopted child of the householder.  Family is defined as two or more people who reside together and who are related by birth, marriage, or adoption.","Census 2020, 2010, and 2000 block data."
"pc_fhwc","Female Headed Families with Children","Estimated percent female headed families with own children under 18 as a percent of all households.","APL estimates based on 2020 Census. Because these figures are derived from 2020 data, any changes over time are a result of boundary changes; they do not reflect actual changes in population since 2020.  The Census Bureau defines an own child as a never-married child under 18 years who is a son or daughter by birth, a stepchild, or an adopted child of the householder.  Family is defined as two or more people who reside together and who are related by birth, marriage, or adoption.","Census 2020, 2010, and 2000 block data."
"prd_viol","Community Pride Violations","Total count of community pride violations.","Community pride violation types include a subset of Property Maintenance Violations (Exterior Housing, Graffiti, Junk/Trash/Debris, Trash Carts, and Weeds/Overgrowth) and Zoning Violations (Fences, Inoperable Vehicles, and Parking on Lawn).  Violation data have various origins: complaint, survey, referred, programmed, field observation, and other.  Snow and ice related violations are excluded due to weather dependent year-to-year variation.  Incident summaries are for the calendar year corresponding to the NI edition year.","City of Madison Building Inspection Division, received 1/2/2023."
"pc_n_trst","Low Transit Access","Percent of dwelling units that lie outside 1/4 mile walk of a regularly scheduled transit stop.","APL walk distance proximity calculations.  This measure depends on walk distances along public roadways, and dwelling units located more than 100 meters from a public roadway are represented as not having service even though some are within 1/4 mile walk.","City of Madison - Metro Transit, received 7/24/2023.   The Metro Transit Redesign went in effect June 11, 2023; access measures for Madison new network are represented in the data shown here."
"trst_trps","Available Transit Service","Total number of regularly scheduled transit trips.","Includes regularly scheduled transit trips that would permit a passenger boarding, using any of the transit stop locations that are within or adjacent to the area (within 250 feet), summarized over the course of a typical seven‐day week (Monday-Sunday).","City of Madison - Metro Transit, received 7/24/2023.   The Metro Transit Redesign went in effect June 11, 2023; access measures for Madison new network are represented in the data shown here."
"foreclsr","Property Foreclosures","Total count of foreclosure cases.","The data only represent the initial foreclosure filing (i.e. initial legal action) against a property owner and should not be confused with sheriff sales (only a share of these cases go all the way through the legal process to a sheriff sale).  Some foreclosure actions against a property owner may actually reflect numerous properties (i.e. in the case of a landlord who owns several rental properties); these duplicate properties will not be found in the dataset.","Dr. Russ Kashian, Fiscal and Economic Research Center - University of Wisconsin-Whitewater, received 8/1/2023.  Geocoding match rate: 100%."
"acres","Land Area (acres)","Acreage of tabulation geography.","APL calculation based on tabulation geography boundary files.","City of Madison Planning Division, received 11/29/2022."
"cc_prvdrs","Childcare Providers","Number of regulated providers within one quarter mile of tabulation geography.","Licensed Camps are excluded from these counts.  APL proximity calculation.","City of Madison Planning Division, received 1/17/2023.  Community Coordinated Child Care, Inc. supplied the data to the City of Madison.  Child care enrollment is reported annually in October."
"cc_cpcty","Childcare Capacity","Capacity of regulated providers within one quarter mile of tabulation geography.","Includes the combined total maximum capacity (as reported by the Wisconsin Department of Children and Families) of all area providers.  Licensed Camp capacity numbers are excluded from these counts.  APL proximity calculation.","City of Madison Planning Division, received 1/17/2023.  Community Coordinated Child Care, Inc. supplied the data to the City of Madison.  Child care enrollment is reported annually in October."
"cc_enrlmt","Childcare Enrollment","Children enrolled with regulated providers within one quarter mile of tabulation geography.","Includes the combined total number of children enrolled with area providers regardless of home residence, age, income or full/part-time status.  Licensed Camp enrollment numbers are excluded from these counts.  APL proximity calculation.","City of Madison Planning Division, received 1/17/2023.  Community Coordinated Child Care, Inc. supplied the data to the City of Madison.  Child care enrollment is reported annually in October."
"du_cty","Madison Dwelling Units ","Non-campus dwelling units in the City of Madison.","Non-campus dwelling units in the City of Madison property database.   In residential group quarters each deliverable mail address is counted as a dwelling unit. ","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"du_cmps","Campus Dwelling Units","Campus dwelling units in University of Wisconsin or Edgewood College residential housing.","Campus dwelling units in University of Wisconsin or Edgewood College residential housing.  These counts include fraternities and sororities that are intended for student occupants.  Each deliverable mail address in a residential group quarters (e.g. dormitory) was counted as a dwelling unit.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"asst_unts","Madison Subsidized Rental Units","Rental dwelling units receiving government subsidies.","Tabulations include the following categories of housing assistance: Public Housing CDA (Community Development Authority); Private Projects: Section 8 Project Subsidies and Section 42 Tax Credits; and other project subsidized by City or other Federal funding.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"avg_huval","Owner Occupied Houses: Average Value","Average assessed value of single family dwelling unit, owner occupied houses.","Average assessed value (land and improvements) among single family owner occupied housing units.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"sqft_val","Owner Occupied Houses: Square Foot Value","Square foot value of single family dwelling unit, owner occupied houses.","Total housing value (land and improvements) among single family owner occupied housing units divided by the total finished floor area.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"avg_n_hval","Non-Owner Occupied Houses: Average Value","Average assessed value of single family dwelling unit, non-owner occupied houses.","Average assessed value (land and improvements) among single family non-owner occupied housing units.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"sqft_n_val","Non-Owner Occupied Houses: Square Foot Value","Square foot value of single family dwelling unit, non-owner occupied houses.","Total housing value (land and improvements) among single family non-owner occupied housing units divided by the total finished floor area.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"avg_c_hval","Condos: Average Value","Average assessed dwelling unit value of condominiums.","Average assessed value among condominiums.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"sqft_c_val","Condos: Square Foot Value","Square foot value of condominiums.","Total assessed value divided by the total finished floor area (with common areas, unit parking, and storage excluded). ","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
"yrblt_mdn","Median Year Built","Median year built for all dwelling units including single household dwelling units, multi-household units, and some residential group quarters.","Campus dormitories are excluded from the Median Year Built tabulations.","City of Madison Planning Division, Parcel summary database, received 7/9/2023"
